,0,buy Signal
2020-08-03,128764420,Buy
2020-08-03,130428932,Buy
2020-08-10,128017156,Buy
2020-08-10,128124932,Buy
2020-08-10,128181764,Buy
2020-08-10,129417476,Buy
2020-08-10,129555460,Buy
2020-08-10,129563908,Buy
2020-08-10,131417348,Buy
2020-08-10,134314756,Buy
2020-08-10,138098692,Buy
2020-08-17,128011012,Buy
2020-08-17,128084740,Buy
2020-08-17,129417476,Buy
2020-08-17,131386372,Buy
2020-08-17,132450564,Buy
2020-08-17,138854148,Buy
2020-08-17,136334084,Buy
2020-08-17,136355332,Buy
2020-08-17,136435972,Buy
2020-08-17,136739588,Buy
2020-08-17,137153284,Buy
2020-08-17,138098692,Buy
2020-08-24,128011012,Buy
2020-08-24,128041732,Buy
2020-08-24,133989892,Buy
2020-08-24,4959233,Buy
2020-08-24,138582020,Buy
2020-08-24,136024068,Dont Buy
2020-08-24,136519172,Buy
2020-08-31,4959233,Buy
2020-09-14,136064004,Buy
2020-09-14,136237572,Dont Buy
2020-09-21,136403716,Buy
2020-10-05,134881540,Buy
2020-10-05,138754820,Buy
2020-10-12,136418308,Buy
2020-10-19,151046148,Buy
2020-10-19,128027652,Buy
2020-10-19,128028164,Buy
2020-10-19,128029700,Buy
2020-10-19,128130564,Buy
2020-10-19,135681796,Buy
2020-10-19,128568068,Buy
2020-10-19,136286980,Buy
2020-10-19,136911108,Buy
2020-10-19,137898500,Buy
2020-10-26,128074244,Buy
2020-10-26,128105220,Buy
2020-10-26,128130564,Buy
2020-10-26,128202244,Buy
2020-10-26,131424004,Buy
2020-10-26,138336260,Buy
2020-10-26,134314756,Buy
2020-10-26,135681796,Buy
2020-10-26,138918916,Buy
2020-10-26,128568068,Buy
2020-10-26,136286980,Buy
2020-10-26,136432388,Buy
2020-10-26,137898500,Buy
2020-11-02,128026628,Buy
2020-11-02,128034052,Buy
2020-11-02,128063748,Buy
2020-11-02,129329156,Buy
2020-11-02,129459204,Buy
2020-11-02,131424004,Buy
2020-11-02,138336260,Buy
2020-11-02,134314756,Buy
2020-11-02,134325508,Buy
2020-11-02,138412292,Buy
2020-11-02,134327044,Buy
2020-11-02,138479364,Buy
2020-11-02,136421892,Buy
2020-11-02,136442372,Buy
2020-11-02,136473092,Buy
2020-11-09,151040772,invalid
2020-11-09,151043332,invalid
2020-11-09,128026628,invalid
2020-11-09,128034052,invalid
2020-11-09,128062212,invalid
2020-11-09,128063748,invalid
2020-11-09,128080388,invalid
2020-11-09,128105732,invalid
2020-11-09,128107524,invalid
2020-11-09,128125444,invalid
2020-11-09,128158724,invalid
2020-11-09,128224004,invalid
2020-11-09,128793604,invalid
2020-11-09,129013764,invalid
2020-11-09,129329156,invalid
2020-11-09,129459204,invalid
2020-11-09,129507844,invalid
2020-11-09,129592836,invalid
2020-11-09,129916932,invalid
2020-11-09,131502852,invalid
2020-11-09,5143553,invalid
2020-11-09,133702404,invalid
2020-11-09,133920516,invalid
2020-11-09,133989124,invalid
2020-11-09,134325508,invalid
2020-11-09,134327044,invalid
2020-11-09,134349828,invalid
2020-11-09,134750980,invalid
2020-11-09,138423300,invalid
2020-11-09,138436868,invalid
2020-11-09,135682820,invalid
2020-11-09,138479364,invalid
