Date,Symbol,Token
2020-08-03,VTL,128764420
2020-08-03,GRAPHITE,130428932
2020-08-10,BLUESTARCO,128017156
2020-08-10,ABBOTINDIA,128124932
2020-08-10,AKZOINDIA,128181764
2020-08-10,ZEEL,129417476
2020-08-10,GRINDWELL,129555460
2020-08-10,GENESYS,129563908
2020-08-10,AJMERA,131417348
2020-08-10,SOTL,134314756
2020-08-10,INDIGO,138098692
2020-08-17,BATAINDIA,128011012
2020-08-17,PIDILITIND,128084740
2020-08-17,ZEEL,129417476
2020-08-17,PENIND,131386372
2020-08-17,SYMPHONY,132450564
2020-08-17,CHALET,138854148
2020-08-17,NTPC,136334084
2020-08-17,SHOPERSTOP,136355332
2020-08-17,VGUARD,136435972
2020-08-17,SCHNEIDER,136739588
2020-08-17,ABFRL,137153284
2020-08-17,INDIGO,138098692
2020-08-24,BATAINDIA,128011012
2020-08-24,GODFRYPHLP,128041732
2020-08-24,JCHAC,133989892
2020-08-24,SPCENET,4959233
2020-08-24,INDOSTAR,138582020
2020-08-24,CONCOR,136024068
2020-08-24,COALINDIA,136519172
2020-08-31,SPCENET,4959233
2020-09-14,RAJESHEXPO,136064004
2020-09-14,ENGINERSIN,136237572
2020-09-21,PAGEIND,136403716
2020-10-05,63MOONS,134881540
2020-10-05,GRSE,138754820
2020-10-12,REFEX,136418308
2020-10-19,FACT,151046148
2020-10-19,MTNL,128027652
2020-10-19,CHENNPETRO,128028164
2020-10-19,IDBI,128029700
2020-10-19,LT,128130564
2020-10-19,JKTYRE,135681796
2020-10-19,BORORENEW,128568068
2020-10-19,TTML,136286980
2020-10-19,PCJEWELLER,136911108
2020-10-19,SHARDACROP,137898500
2020-10-26,MRF,128074244
2020-10-26,THERMAX,128105220
2020-10-26,LT,128130564
2020-10-26,NESTLEIND,128202244
2020-10-26,CARBORUNIV,131424004
2020-10-26,DMART,138336260
2020-10-26,SOTL,134314756
2020-10-26,JKTYRE,135681796
2020-10-26,POLYCAB,138918916
2020-10-26,BORORENEW,128568068
2020-10-26,TTML,136286980
2020-10-26,RPOWER,136432388
2020-10-26,SHARDACROP,137898500
2020-11-02,HINDPETRO,128026628
2020-11-02,ESABINDIA,128034052
2020-11-02,KSB,128063748
2020-11-02,SMLISUZU,129329156
2020-11-02,ELECON,129459204
2020-11-02,CARBORUNIV,131424004
2020-11-02,DMART,138336260
2020-11-02,SOTL,134314756
2020-11-02,NACLIND,134325508
2020-11-02,SIS,138412292
2020-11-02,SUNPHARMA,134327044
2020-11-02,GALAXYSURF,138479364
2020-11-02,POWERGRID,136421892
2020-11-02,BAJAJFINSV,136442372
2020-11-02,NHPC,136473092
2020-11-09,KARURVYSYA,151040772
2020-11-09,XPROINDIA,151043332
2020-11-09,HINDPETRO,128026628
2020-11-09,ESABINDIA,128034052
2020-11-09,KIRLOSIND,128062212
2020-11-09,KSB,128063748
2020-11-09,ORIENTHOT,128080388
2020-11-09,THOMASCOOK,128105732
2020-11-09,TORNTPHARM,128107524
2020-11-09,BAJAJHLDNG,128125444
2020-11-09,GESHIP,128158724
2020-11-09,ITC,128224004
2020-11-09,PHOENIXLTD,128793604
2020-11-09,BBL,129013764
2020-11-09,SMLISUZU,129329156
2020-11-09,ELECON,129459204
2020-11-09,KENNAMET,129507844
2020-11-09,STYRENIX,129592836
2020-11-09,GMBREW,129916932
2020-11-09,NLCINDIA,131502852
2020-11-09,TASTYBITE,5143553
2020-11-09,GET&D,133702404
2020-11-09,EIHAHOTELS,133920516
2020-11-09,3MINDIA,133989124
2020-11-09,NACLIND,134325508
2020-11-09,SUNPHARMA,134327044
2020-11-09,AUROPHARMA,134349828
2020-11-09,NMDC,134750980
2020-11-09,ICICIGI,138423300
2020-11-09,NIACL,138436868
2020-11-09,MANGCHEFER,135682820
2020-11-09,GALAXYSURF,138479364
2020-11-09,BANDHANBNK,138535172
2020-11-09,GOODLUCK,135847684
2020-11-09,IOC,135927044
2020-11-09,CONCOR,136024068
2020-11-09,BANKBARODA,136226308
2020-11-09,APARINDS,136258308
2020-11-09,PNBGILTS,136285700
2020-11-09,UBL,136314372
2020-11-09,PETRONET,136325636
2020-11-09,PTC,136326148
2020-11-09,NDTV,136327428
2020-11-09,DCBBANK,136389636
2020-11-09,IBREALEST,136404996
2020-11-09,FORTIS,136407812
2020-11-09,HGS,136411908
2020-11-09,BAJAJFINSV,136442372
2020-11-09,NHPC,136473092
2020-11-09,COALINDIA,136519172
2020-11-09,TDPOWERSYS,136589572
2020-11-09,IMAGICAA,137998340
2020-11-09,INOXWIND,138005252
2020-11-09,VRLLOG,138014212
2020-11-09,PRECAM,138146820
2020-11-09,ICICIPRULI,138274052
2020-11-09,VBL,138286084
2020-11-17,BOMDYEING,128005124
2020-11-17,CENTURYTEX,128010244
2020-11-17,BEML,128012292
2020-11-17,BEL,128012548
2020-11-17,GODFRYPHLP,128041732
2020-11-17,GODREJIND,128041988
2020-11-17,INGERRAND,128053764
2020-11-17,KIRLOSBROS,128061700
2020-11-17,WSTCSTPAPR,128113668
2020-11-17,SKFINDIA,128120836
2020-11-17,BAJAJHLDNG,128125444
2020-11-17,GESHIP,128158724
2020-11-17,CASTROLIND,128222724
2020-11-17,ITC,128224004
2020-11-17,ORIENTPPR,128619524
2020-11-17,PHOENIXLTD,128793604
2020-11-17,BBL,129013764
2020-11-17,INDIANHUME,129213700
2020-11-17,STYRENIX,129592836
2020-11-17,TVSSRICHAK,130366212
2020-11-17,HEG,130465540
2020-11-17,HINDCOPPER,131481348
2020-11-17,ADORWELD,132362500
2020-11-17,HONAUT,132396548
2020-11-17,GIPCL,132428804
2020-11-17,KEI,132497668
2020-11-17,VESUVIUS,133148932
2020-11-17,GET&D,133702404
2020-11-17,EIHAHOTELS,133920516
2020-11-17,DCMSHRIRAM,133981956
2020-11-17,AUROPHARMA,134349828
2020-11-17,GANESHHOUC,134749956
2020-11-17,ICICIGI,138423300
2020-11-17,NIACL,138436868
2020-11-17,MANGCHEFER,135682820
2020-11-17,HGINFRA,138500868
2020-11-17,ARVINDFASN,138875908
2020-11-17,IIFLSEC,138949892
2020-11-17,IRCTC,138964484
2020-11-17,GAIL,136231684
2020-11-17,JKPAPER,136233476
2020-11-17,GMDCLTD,136238340
2020-11-17,J&KBANK,136245508
2020-11-17,AXISCADES,136293124
2020-11-17,MCDOWELL-N,2674433
2020-11-17,APTECHT,136313604
2020-11-17,PETRONET,136325636
2020-11-17,PTC,136326148
2020-11-17,NDTV,136327428
2020-11-17,KTKBANK,136358916
